Startup_ID,Company_Name,Industry,One_Line_Pitch,Founding_Year,Headquarters_Location,Funding_Stage,Last_Funding_Amount_USD_Millions,Number_of_Employees,Website,LinkedIn_Profile,Twitter_Handle,CEO_Name,Core_Technology,Market_Size_Billion_USD
2319,Smith-Rowe,Mobility,High-speed rail optimization with digital twins.,2008,"Loriton, Saint Lucia",Series A,,29.0,smithrowe.com,https://linkedin.com/company/smith-rowe,@smithrowe9245,Alejandro Sanchez,Edge Computing,150.0
2320,Williams PLC,FinTech,Digital escrow platforms for secure business exchanges.,2022,"Lisaview, Cape Verde",Pre-Seed,,6.0,williamsplc.app,https://linkedin.com/company/williams-plc,@williamsplc1767,Kayla Jenkins,Cloud Computing,30.0
2321,Williams Ltd,SaaS,Self-healing SaaS infrastructure minimizing downtime risks.,2021,"Jessicaside, New Zealand",Pre-Seed,1.35,7.0,williamsltd.io,https://linkedin.com/company/williams-ltd,@williamsltd1211,Courtney Bird,Computer Vision,40.0
2322,Francis-Lewis,Gaming,Voice-to-avatar systems for instant social immersion.,2013,"New Kaylaland, Swaziland",Seed,2.05,6.0,francislewis.com,https://linkedin.com/company/francis-lewis,@francislewis41,Linda Parrish,Virtual Reality,80.0
2323,"Rich, Taylor and Nelson",IoT,Digital twins for real-world operational excellence.,2025,"New Joseph, Cote d'Ivoire",Pre-Seed,,,richtaylorandnelson.io,https://linkedin.com/company/rich-taylor-and-nelson,@richtayloran7591,Leon Rose,IoT,150.0
2324,Stewart-Williams,E-commerce,Micro-fulfillment centers optimized with ML logistics.,2023,"West Karen, Honduras",,,275.0,stewartwilliams.co,https://linkedin.com/company/stewart-williams,@stewartwilli2729,Katherine Travis,Computer Vision,25.0
2325,Berry Group,Social Media,Micro-communities powered by AI-driven content curation.,2013,"New John, Andorra",Pre-Seed,0.89,,berrygroup.ai,https://linkedin.com/company/berry-group,@berrygroup4239,Lauren Burton,Big Data,120.0
2326,"Williams, Barrett and Reynolds",HealthTech,AI anomaly detection for public health surveillance.,2021,"Lake Christina, Faroe Islands",Series C,,519.0,williamsbarrettandreynolds.app,https://linkedin.com/company/williams-barrett-and-reynolds,@williamsbarr319,Shane Gates,Virtual Reality,120.0
2327,Montes LLC,Food Tech,Self-healing food packaging using biosensors.,2018,"West Abigail, New Zealand",Series C,,331.0,montesllc.tech,https://linkedin.com/company/montes-llc,@montesllc7632,Alicia Lee,Augmented Reality,60.0
2328,Hernandez-Perez,AI & Machine Learning,Predictive AI tools supporting data-informed leadership.,2016,"Ortegafort, France",Pre-Seed,0.74,1.0,hernandezperez.co,https://linkedin.com/company/hernandez-perez,@hernandezper1416,Julia Lynch,Cloud Computing,25.0
2329,Douglas Inc,IoT,Retail IoT tagging improving inventory visibility.,2012,"Rojashaven, Saint Helena",,,32.0,douglasinc.tech,https://linkedin.com/company/douglas-inc,@douglasinc2234,Aaron Boyd,Deep Learning,25.0
2330,"Anderson, Obrien and Buchanan",Social Media,Smart tagging systems enhancing discoverability.,2011,"Hortonview, Botswana",Private Equity,50.59,1209.0,andersonobrienandbuchanan.com,https://linkedin.com/company/anderson-obrien-and-buchanan,@andersonobri8454,Caitlin Lucas,Cybersecurity,120.0
2331,Jackson Group,CleanTech,Predictive energy trading maximizing clean source use.,2014,"Lake Dawnside, Honduras",Pre-Seed,,7.0,jacksongroup.co,https://linkedin.com/company/jackson-group,@jacksongroup5008,Nicole Martin,Big Data,
2332,Roberson-Carter,FinTech,Payment orchestration routing for cost efficiency.,2024,"North Melinda, Kenya",IPO,,,robersoncarter.io,https://linkedin.com/company/roberson-carter,@robersoncart4301,Aaron Powell,Deep Learning,25.0
2333,"Lewis, Levy and Melendez",Social Media,Micro-communities powered by AI-driven content curation.,2020,"West Christopherhaven, Uzbekistan",Series C,40.17,600.0,,https://linkedin.com/company/lewis-levy-and-melendez,@lewislevyand9116,Pamela Harrison,Augmented Reality,60.0
2334,"Hernandez, Maxwell and Mercado",Food Tech,Supply-chain transparency from farm to fork.,2024,"Lorraineshire, Georgia",IPO,716.64,1141.0,hernandezmaxwellandmercado.ai,https://linkedin.com/company/hernandez-maxwell-and-mercado,@hernandezmax2795,Joshua Huff,Machine Learning,10.0
2335,Reilly-Young,AI & Machine Learning,Self-optimizing AI workflows for smarter operations.,2017,"Hardybury, Palau",Series C,80.96,290.0,reillyyoung.app,https://linkedin.com/company/reilly-young,@reillyyoung7253,Jerry Shaw,Cloud Computing,100.0
2336,"Johnson, Hernandez and Jackson",Cybersecurity,Zero-day exploit defense powered by ML predictions.,2010,"Sheltonshire, Azerbaijan",Pre-Seed,,10.0,johnsonhernandezandjackson.com,https://linkedin.com/company/johnson-hernandez-and-jackson,@johnsonherna840,Robert Hines,Machine Learning,
2337,Stewart-Nelson,E-commerce,AI-driven merchandising to boost conversion and AOV.,2019,"Brownside, Fiji",Series A,,46.0,stewartnelson.tech,https://linkedin.com/company/stewart-nelson,@stewartnelso7759,Victoria Carpenter,Artificial Intelligence,30.0
2338,"Green, Burton and Wallace",Social Media,Real-time social graphs for authentic engagement.,2010,"Edwardsborough, Nauru",Series A,,89.0,greenburtonandwallace.co,https://linkedin.com/company/green-burton-and-wallace,@greenburtona5972,Virginia Johns,5G,
2339,"Fernandez, Jennings and Cameron",Social Media,Interactive podcast platforms reimagining audio-first social.,2015,"South Willie, Guinea",Series D,155.57,966.0,fernandezjenningsandcameron.co,https://linkedin.com/company/fernandez-jennings-and-cameron,@fernandezjen5067,Erica Morrison,Edge Computing,60.0
2340,"Carpenter, Wood and Huerta",Social Media,Real-time audience analytics for live streamers.,2013,"Jacksonside, Cote d'Ivoire",Series C,,,carpenterwoodandhuerta.ai,https://linkedin.com/company/carpenter-wood-and-huerta,@carpenterwoo1852,Krista Ramos,Augmented Reality,90.0
2341,Warren and Sons,PropTech,AI-driven tenant experience platforms.,2014,"Lake Timothyland, Canada",Series D,284.36,985.0,warrenandsons.io,https://linkedin.com/company/warren-and-sons,@warrenandson7277,James Rodriguez,Cybersecurity,120.0
2342,Walls Ltd,PropTech,Digital deed management using blockchain immutability.,2025,"Lake Melissaland, Mexico",IPO,,3386.0,wallsltd.com,https://linkedin.com/company/walls-ltd,@wallsltd8687,Kimberly Moore,Augmented Reality,80.0
2343,"Holland, Fernandez and Schneider",Blockchain,Sybil-resistant ID solutions using blockchain consensus.,2019,"New Katietown, Pakistan",Pre-Seed,0.94,9.0,hollandfernandezandschneider.com,https://linkedin.com/company/holland-fernandez-and-schneider,@hollandferna4507,Adriana Morales,Computer Vision,60.0
2344,"Hodges, Sheppard and Johnson",Mobility,Shared charging hubs for cross-provider interoperability.,2020,"North Shawnberg, Cyprus",Series D,,890.0,hodgessheppardandjohnson.ai,https://linkedin.com/company/hodges-sheppard-and-johnson,@hodgessheppa7278,Mr. Justin Hughes,Cybersecurity,60.0
2345,"Barry, Walker and Whitehead",CleanTech,ML-enhanced waste reduction strategies for industries.,2016,"Stanleymouth, Uruguay",Series B,22.17,,barrywalkerandwhitehead.co,https://linkedin.com/company/barry-walker-and-whitehead,@barrywalkera9686,Miguel Williams,IoT,20.0
2346,Murphy-Dixon,AI & Machine Learning,Ethical AI frameworks ensuring fairness and transparency.,2010,"Atkinsbury, Comoros",,,129.0,murphydixon.co,https://linkedin.com/company/murphy-dixon,@murphydixon6952,Michael Smith,Quantum Computing,80.0
2347,Ramos-Singh,E-commerce,Voice-enabled shopping experiences integrated into marketplaces.,2024,"Port Linda, United Arab Emirates",Private Equity,73.54,1681.0,,https://linkedin.com/company/ramos-singh,@ramossingh3254,Ariel Murphy,Edge Computing,60.0
2348,"Williams, Richard and Flores",PropTech,AI copilots for property valuation accuracy.,2021,"West Davidland, Malta",Series A,8.23,73.0,williamsrichardandflores.app,https://linkedin.com/company/williams-richard-and-flores,@williamsrich2200,Larry Wiley,Artificial Intelligence,5.0
2349,Black Ltd,HealthTech,Continuous glucose monitoring assisted by ML.,2025,"Joseport, Heard Island and McDonald Islands",,,73.0,blackltd.com,https://linkedin.com/company/black-ltd,@blackltd4619,Ms. Ashley Jones,Edge Computing,
2350,Parker Group,SaaS,AI-driven SaaS adoption insights improving retention.,2008,"Lake Samanthaville, Sao Tome and Principe",Series C,100.06,590.0,parkergroup.com,https://linkedin.com/company/parker-group,@parkergroup7894,Darrell Wong,Cloud Computing,60.0
2351,Rosales-Gonzalez,FinTech,Open banking APIs boosting interoperability and innovation.,2022,"Wilsonfurt, Svalbard & Jan Mayen Islands",Private Equity,,297.0,rosalesgonzalez.ai,https://linkedin.com/company/rosales-gonzalez,@rosalesgonza5639,Kimberly Jones,Computer Vision,25.0
2352,Aguilar Group,Mobility,AI copilots assisting mobility-as-a-service managers.,2024,"Williamsonside, Austria",Private Equity,328.4,1309.0,aguilargroup.tech,https://linkedin.com/company/aguilar-group,@aguilargroup7554,Brenda Fowler,Edge Computing,
2353,Brock-Burton,IoT,AI-powered anomaly detection in IoT sensor networks.,2015,"Ronaldport, Estonia",Series C,43.87,169.0,,https://linkedin.com/company/brock-burton,@brockburton9524,John Patrick,Cloud Computing,40.0
2354,Herman and Sons,E-commerce,AI logistics optimization ensuring seamless last-mile delivery.,2022,"Swansonchester, Zimbabwe",Private Equity,495.97,1390.0,hermanandsons.io,https://linkedin.com/company/herman-and-sons,@hermanandson4116,Alex Reynolds,5G,100.0
2355,Austin Group,HealthTech,Blockchain-enabled secure medical record exchange.,2017,"Port Victor, Panama",Series C,87.42,468.0,austingroup.app,https://linkedin.com/company/austin-group,@austingroup5726,Bryan Aguilar,Edge Computing,120.0
2356,Diaz-Mccarthy,Cybersecurity,Ransomware detection with predictive ML defense.,2012,"New Renee, Paraguay",Private Equity,158.0,1861.0,diazmccarthy.co,https://linkedin.com/company/diaz-mccarthy,@diazmccarthy463,Jeffrey Garcia,Big Data,120.0
2357,Nixon-Schroeder,E-commerce,Gig-economy delivery integration into e-commerce platforms.,2009,"Lake Benjamin, Mongolia",Seed,,,nixonschroeder.app,https://linkedin.com/company/nixon-schroeder,@nixonschroed4908,Erin Richardson,NLP,50.0
2358,"Stanley, Day and Ferrell",Social Media,Decentralized social networks ensuring user data ownership.,2025,"East Gregory, Bermuda",IPO,683.83,4040.0,stanleydayandferrell.ai,https://linkedin.com/company/stanley-day-and-ferrell,@stanleydayan6855,Willie Watson,Deep Learning,40.0
2359,"Reed, Rodgers and Medina",Social Media,Smart recommendation engines avoiding echo chambers.,2008,"Roblestown, Yemen",Series B,52.37,154.0,reedrodgersandmedina.tech,https://linkedin.com/company/reed-rodgers-and-medina,@reedrodgersa779,Daniel Carter,Machine Learning,100.0
2360,Bradford-Fletcher,E-commerce,AI-driven cart recovery strategies maximizing conversions.,2024,"Thompsonville, Guatemala",,,119.0,bradfordfletcher.ai,https://linkedin.com/company/bradford-fletcher,@bradfordflet7095,Laura Gardner,5G,80.0
2361,"Miller, Burton and Adams",AI & Machine Learning,Lightweight ML models designed for IoT devices.,2024,"South Brycetown, Guadeloupe",,,72.0,millerburtonandadams.com,https://linkedin.com/company/miller-burton-and-adams,@millerburton2808,Christopher Martin,Deep Learning,100.0
2362,"Beck, Sullivan and Arnold",Mobility,Voice-first interfaces for vehicle infotainment systems.,2024,"Patriciaville, Denmark",Series C,51.07,180.0,becksullivanandarnold.app,https://linkedin.com/company/beck-sullivan-and-arnold,@becksullivan8727,Elizabeth Hill,5G,70.0
2363,Hughes-Preston,EdTech,Interactive storytelling platforms engaging younger learners.,2013,"Lisaborough, Puerto Rico",Series B,37.02,147.0,hughespreston.com,https://linkedin.com/company/hughes-preston,@hughespresto2746,Mr. Alexander Davies,Machine Learning,40.0
2364,"Patrick, Villarreal and Herrera",Cybersecurity,Continuous risk scoring for dynamic access controls.,2017,"Elizabethbury, Cook Islands",,,,patrickvillarrealandherrera.co,https://linkedin.com/company/patrick-villarreal-and-herrera,@patrickvilla7874,Alyssa Hernandez,IoT,100.0
2365,"Bailey, Cantu and Johnson",PropTech,Real-time tenant satisfaction scoring with NLP.,2012,"Mannburgh, Brazil",Series A,15.3,41.0,baileycantuandjohnson.io,https://linkedin.com/company/bailey-cantu-and-johnson,@baileycantua104,Chelsea Bennett,Blockchain,
2366,Martinez-Francis,FinTech,Open finance empowering data sovereignty for consumers.,2013,"Gutierrezland, Afghanistan",Pre-Seed,0.38,6.0,martinezfrancis.app,https://linkedin.com/company/martinez-francis,@martinezfran6034,Erik Long,Virtual Reality,
2367,Ramirez Inc,Social Media,On-demand group creation driven by shared interests.,2009,"Port Melinda, Brunei Darussalam",IPO,,3082.0,ramirezinc.tech,https://linkedin.com/company/ramirez-inc,@ramirezinc5841,Michael Robinson,Deep Learning,
2368,"Chapman, Williams and Yoder",EdTech,Real-time language translation for global classrooms.,2025,"Lake Samuel, Jamaica",Series A,18.64,12.0,chapmanwilliamsandyoder.ai,https://linkedin.com/company/chapman-williams-and-yoder,@chapmanwilli2675,Stephanie Freeman,Virtual Reality,60.0
2369,"Yang, Davis and Lin",E-commerce,AI-enriched product tagging improving search accuracy.,2024,"West Edwardport, Falkland Islands (Malvinas)",Series C,124.77,396.0,yangdavisandlin.co,https://linkedin.com/company/yang-davis-and-lin,@yangdavisand7507,Barbara Carter,Blockchain,10.0
2370,"Martin, Sanchez and Garrison",CleanTech,Wave and tidal energy optimization with IoT insights.,2021,"South Kevinfurt, United States of America",Seed,4.36,22.0,martinsanchezandgarrison.co,https://linkedin.com/company/martin-sanchez-and-garrison,@martinsanche3815,Stephen Taylor,Big Data,100.0
2371,Li-Rodriguez,Gaming,Semantic AI enabling natural voice-controlled gameplay.,2024,"Sanchezberg, Hong Kong",Series C,137.73,320.0,lirodriguez.co,https://linkedin.com/company/li-rodriguez,@lirodriguez3740,Keith Casey,Artificial Intelligence,40.0
2372,Moss-Day,Food Tech,Smart kitchen assistants reducing cooking energy consumption.,2018,"Michaelburgh, Northern Mariana Islands",Series C,85.83,114.0,mossday.com,https://linkedin.com/company/moss-day,@mossday6935,Michael Bennett,Deep Learning,30.0
2373,Cain-Evans,Gaming,Emotion-aware AI adjusting gameplay difficulty.,2021,"North Javierside, Gibraltar",Series C,88.58,,cainevans.tech,https://linkedin.com/company/cain-evans,@cainevans9743,Christopher Solis,Edge Computing,80.0
2374,Brown-Bowen,AI & Machine Learning,Decentralized AI models for edge intelligence.,2024,"Port Sharon, Faroe Islands",Series B,,,brownbowen.app,https://linkedin.com/company/brown-bowen,@brownbowen8267,Tammy Scott,NLP,
2375,"Ross, Taylor and Ferguson",EdTech,AI-generated study plans tailored to student goals.,2025,"New Aaron, Latvia",Series D,130.12,993.0,rosstaylorandferguson.com,https://linkedin.com/company/ross-taylor-and-ferguson,@rosstayloran626,Tina Jones,NLP,5.0
2376,Hill-Simon,Blockchain,Digital twins anchored to immutable chain records.,2020,"West Gloriaport, Mozambique",Series B,16.47,155.0,hillsimon.io,https://linkedin.com/company/hill-simon,@hillsimon8381,Brittany Davis,Computer Vision,150.0
2377,Horton-Chapman,Gaming,Voice AI generating dynamic character interactions.,2017,"Lawrencemouth, Croatia",Series D,173.66,826.0,hortonchapman.tech,https://linkedin.com/company/horton-chapman,,Shaun Smith,IoT,90.0
2378,Aguilar LLC,EdTech,Predictive analytics identifying at-risk students early.,2010,"South Tyler, Jordan",Private Equity,185.16,1919.0,aguilarllc.ai,https://linkedin.com/company/aguilar-llc,@aguilarllc1218,Jose Williams,Virtual Reality,50.0
2379,"Brock, Shaw and Brown",HealthTech,Virtual health assistants mentoring patient wellness.,2009,"Hannaland, Georgia",Series D,273.56,860.0,brockshawandbrown.tech,https://linkedin.com/company/brock-shaw-and-brown,@brockshawand2688,Bradley Davis,Virtual Reality,15.0
2380,Wright Group,Gaming,AI-driven matchmaking systems ensuring balanced play.,2017,"Nicholsburgh, Norfolk Island",Series A,8.74,47.0,wrightgroup.ai,https://linkedin.com/company/wright-group,@wrightgroup2441,Robert Tucker,Augmented Reality,10.0
2381,"Jones, Bryant and Williams",HealthTech,Remote rehabilitation driven by VR + AI analytics.,2016,"Mccoymouth, Jamaica",Private Equity,61.57,1320.0,jonesbryantandwilliams.io,https://linkedin.com/company/jones-bryant-and-williams,@jonesbryanta4919,Gary Gibson,Cloud Computing,10.0
2382,Russell PLC,EdTech,Conversational bots answering student FAQs instantly.,2013,"East Michelleshire, Palestinian Territory",Seed,1.6,2.0,russellplc.app,https://linkedin.com/company/russell-plc,@russellplc2833,Tim Griffith,Deep Learning,40.0
2383,Mcmahon-White,Mobility,Smart helmets enabled with augmented reality overlays.,2016,"North Richard, Austria",Pre-Seed,,2.0,mcmahonwhite.tech,https://linkedin.com/company/mcmahon-white,@mcmahonwhite636,Anthony Haley,Cybersecurity,90.0
2384,Sawyer-Davila,Gaming,Esports talent scouting via performance AI analytics.,2008,"Reneetown, Peru",Pre-Seed,1.24,5.0,sawyerdavila.com,https://linkedin.com/company/sawyer-davila,@sawyerdavila2234,Ronald Jackson,Blockchain,50.0
2385,"Davis, Roberts and Hernandez",FinTech,Climate risk modeling for global finance stability.,2011,"Ortizton, Bosnia and Herzegovina",Seed,1.69,9.0,davisrobertsandhernandez.ai,https://linkedin.com/company/davis-roberts-and-hernandez,@davisroberts8231,David Rodgers,Big Data,90.0
2386,"Thomas, Davis and Heath",Social Media,Data sovereignty tools returning control to users.,2013,"Orozcoborough, Thailand",Private Equity,242.38,580.0,thomasdavisandheath.co,https://linkedin.com/company/thomas-davis-and-heath,@thomasdavisa3920,Brenda Taylor,5G,70.0
2387,Ramirez Inc,AI & Machine Learning,Conversational AI that adapts to user intent dynamically.,2010,"Jesseshire, Bulgaria",Series A,14.74,38.0,ramirezinc.com,https://linkedin.com/company/ramirez-inc,@ramirezinc1512,Christopher Watson,Cybersecurity,70.0
2388,Pena Inc,Gaming,Real-world object scanning imported into gameplay.,2025,"Port Charlesborough, Equatorial Guinea",Pre-Seed,1.08,7.0,penainc.ai,https://linkedin.com/company/pena-inc,@penainc5906,Christine Johnston,Big Data,30.0
2389,Perez and Sons,Gaming,Esports training simulators powered by AI analytics.,2012,"Hunterfurt, Zimbabwe",Pre-Seed,,6.0,perezandsons.co,https://linkedin.com/company/perez-and-sons,@perezandsons9202,Rebecca Moore,Edge Computing,40.0
2390,"Harper, Rogers and Heath",Cybersecurity,Tokenization securing sensitive financial transactions.,2009,"Mathewborough, Gabon",Private Equity,488.21,1624.0,harperrogersandheath.com,https://linkedin.com/company/harper-rogers-and-heath,,James Barton,Quantum Computing,15.0
2391,Lynch-Patterson,IoT,Predictive IoT algorithms for oil & gas safety.,2011,"East Josephhaven, Jersey",Seed,4.02,3.0,lynchpatterson.ai,https://linkedin.com/company/lynch-patterson,@lynchpatters495,Derek Mcgee,5G,20.0
2392,"Patrick, Sampson and Wright",PropTech,Climate-resilient design simulated with AI tools.,2016,"Fieldsfort, Niue",Series B,31.49,49.0,patricksampsonandwright.ai,https://linkedin.com/company/patrick-sampson-and-wright,@patricksamps8508,Samantha Hill,Quantum Computing,
2393,"Pierce, Weber and Thompson",Blockchain,Blockchain payroll systems for gig economy workers.,2012,"Greerstad, Iraq",Series D,264.92,431.0,pierceweberandthompson.com,https://linkedin.com/company/pierce-weber-and-thompson,@piercewebera6183,Anna Barker,Cloud Computing,40.0
2394,Holden-Powell,Blockchain,Gaming guilds using blockchain economies for collaboration.,2010,"Annaland, Ethiopia",,,,holdenpowell.app,https://linkedin.com/company/holden-powell,@holdenpowell899,Steven Horne MD,Augmented Reality,80.0
2395,Brennan PLC,Mobility,Autonomous delivery robots serving last-mile needs.,2020,"New Sabrinachester, French Southern Territories",Series B,20.29,148.0,brennanplc.com,https://linkedin.com/company/brennan-plc,@brennanplc224,John Riddle,Artificial Intelligence,90.0
2396,Wright PLC,Mobility,AI systems predicting maintenance for public buses.,2015,"Erikmouth, Slovakia (Slovak Republic)",Private Equity,111.62,646.0,wrightplc.app,https://linkedin.com/company/wright-plc,,Denise Duran MD,Edge Computing,10.0
2397,Estrada-Morgan,CleanTech,Predictive energy trading maximizing clean source use.,2008,"Martinezshire, Micronesia",Pre-Seed,1.31,,estradamorgan.app,https://linkedin.com/company/estrada-morgan,@estradamorga796,Nicole Moore,Edge Computing,120.0
2398,Rich Ltd,Mobility,AI-enabled emissions analytics for cleaner transport.,2025,"Snydershire, Canada",Private Equity,181.92,1309.0,richltd.app,https://linkedin.com/company/rich-ltd,@richltd8621,Gerald Miller,Artificial Intelligence,40.0
2399,"Ellis, Newman and Villa",E-commerce,Instant resale/recommerce platforms minimizing waste.,2023,"Lake Colleen, Venezuela",Pre-Seed,,6.0,ellisnewmanandvilla.tech,https://linkedin.com/company/ellis-newman-and-villa,@ellisnewmana2317,Devon Bentley,5G,90.0
2400,Jenkins-Murphy,E-commerce,Customer loyalty engines driven by predictive analytics.,2011,"Sanchezshire, Anguilla",Seed,4.79,8.0,jenkinsmurphy.ai,https://linkedin.com/company/jenkins-murphy,@jenkinsmurph8510,Brian Cross,Edge Computing,30.0
2401,Phillips Group,CleanTech,AI satellite imagery mapping methane leaks.,2023,"New Charlene, Tuvalu",Series B,,245.0,phillipsgroup.app,https://linkedin.com/company/phillips-group,@phillipsgrou3155,Rachel Jones,Quantum Computing,25.0
2402,Gomez and Sons,Food Tech,Generative AI creating personalized meal plans.,2022,"North Philliphaven, Palau",Private Equity,190.04,1837.0,gomezandsons.ai,https://linkedin.com/company/gomez-and-sons,@gomezandsons8475,Joel Johnson,NLP,120.0
2403,Crawford and Sons,Cybersecurity,AI copilots for incident response orchestration.,2010,"Andersonton, Latvia",IPO,,1165.0,crawfordandsons.co,https://linkedin.com/company/crawford-and-sons,@crawfordands5455,Patricia Mejia,NLP,90.0
2404,Hill PLC,AI & Machine Learning,Hybrid AI approaches combining symbolic and neural reasoning.,2024,"Olsenside, United Kingdom",Series C,91.54,,hillplc.ai,https://linkedin.com/company/hill-plc,@hillplc4147,Kristi Taylor,Machine Learning,15.0
2405,"Hill, Clark and Anderson",SaaS,ML-reinforced SaaS workflow orchestration engines.,2020,"West Raymondborough, Nauru",Series B,13.63,60.0,hillclarkandanderson.com,https://linkedin.com/company/hill-clark-and-anderson,@hillclarkand5029,Rachel Ramos,Virtual Reality,100.0
2406,Morris LLC,FinTech,Enterprise-grade crypto custody as a service.,2013,"Lake Belinda, Switzerland",,,12.0,morrisllc.ai,https://linkedin.com/company/morris-llc,@morrisllc5599,Jasmine Park,Machine Learning,80.0
2407,Christensen-Harris,IoT,IoT predictive analytics in smart manufacturing.,2020,"New Daniel, Burundi",Series A,6.44,42.0,christensenharris.io,https://linkedin.com/company/christensen-harris,@christensenh8190,Lauren Drake,Computer Vision,150.0
2408,"Lam, Smith and Foster",SaaS,Native SaaS analytics democratizing data exploration.,2018,"Williamland, Papua New Guinea",Series C,70.56,445.0,lamsmithandfoster.co,https://linkedin.com/company/lam-smith-and-foster,,Martin Park,Quantum Computing,5.0
2409,Higgins-Bradley,FinTech,Biometric wallets merging identity and security.,2012,"New Roberttown, Isle of Man",Private Equity,,651.0,higginsbradley.tech,https://linkedin.com/company/higgins-bradley,@higginsbradl6168,Krista Robinson,5G,
2410,Greene Inc,Social Media,Social currencies incentivizing participation and loyalty.,2014,"South Danielstad, Solomon Islands",IPO,577.34,753.0,greeneinc.tech,https://linkedin.com/company/greene-inc,,Alyssa Morales,Edge Computing,150.0
2411,"Wright, Guzman and Simon",AI & Machine Learning,Proactive AI monitoring for system reliability and uptime.,2019,"Port Karenborough, Czech Republic",Seed,,,wrightguzmanandsimon.io,https://linkedin.com/company/wright-guzman-and-simon,@wrightguzman6748,William Lewis,Cybersecurity,60.0
2412,"Barnes, Olson and Mcbride",EdTech,Computer vision for sign-language recognition in classrooms.,2016,"Amandaville, Finland",,,97.0,barnesolsonandmcbride.app,https://linkedin.com/company/barnes-olson-and-mcbride,@barnesolsona7764,Justin Robles,Computer Vision,150.0
2413,Davis-Brown,Blockchain,Blockchain notarized audit trails for compliance.,2018,"Port Ryanborough, Argentina",Series D,81.03,808.0,davisbrown.ai,https://linkedin.com/company/davis-brown,@davisbrown4180,David Stephens,Quantum Computing,70.0
2414,Morales LLC,SaaS,Cognitive SaaS that learns and improves perpetually.,2023,"Port Angelport, Palau",Seed,3.57,15.0,,,@moralesllc7777,Candice Buck,Deep Learning,80.0
2415,Moreno Group,Cybersecurity,Self-healing security architectures minimizing downtime.,2022,"Frostfurt, United States Virgin Islands",Seed,1.7,27.0,morenogroup.ai,https://linkedin.com/company/moreno-group,@morenogroup5226,Amanda Hanna,Quantum Computing,30.0
2416,"Guzman, Wright and Thomas",Food Tech,Biotech lab-grown meat production at scale.,2013,"West Wayne, Samoa",,,264.0,guzmanwrightandthomas.tech,https://linkedin.com/company/guzman-wright-and-thomas,@guzmanwright7970,Elizabeth Green,NLP,15.0
2417,Davies and Sons,FinTech,"Real-time, AI-powered transaction reconciliation.",2025,"Jameschester, Bahamas",Pre-Seed,0.2,10.0,daviesandsons.ai,https://linkedin.com/company/davies-and-sons,@daviesandson5536,Krystal Lambert,Cloud Computing,150.0
2418,Hood-Hebert,AI & Machine Learning,AI models tailored for multilingual global markets.,2017,"East Samanthafurt, Bahamas",Series C,40.78,247.0,hoodhebert.io,https://linkedin.com/company/hood-hebert,@hoodhebert4018,Richard Garcia,Edge Computing,80.0
2419,"Stephenson, Gibbs and Wilson",IoT,Industrial IoT reducing downtime with predictive alerts.,2014,"Port Janice, Myanmar",,,274.0,stephensongibbsandwilson.co,https://linkedin.com/company/stephenson-gibbs-and-wilson,@stephensongi5886,Tammy Montoya,Edge Computing,100.0
2420,Turner Group,Social Media,Predictive algorithms surfacing relevant conversations.,2021,"East Tarahaven, Moldova",Pre-Seed,0.6,8.0,turnergroup.com,https://linkedin.com/company/turner-group,@turnergroup1357,Anita Davis,NLP,80.0
2421,Pittman Group,FinTech,"Real-time, AI-powered transaction reconciliation.",2009,"Loganfort, Vietnam",,,268.0,pittmangroup.tech,https://linkedin.com/company/pittman-group,@pittmangroup4549,Patricia Lawson,Edge Computing,15.0
2422,Alvarez-Hicks,Gaming,Generative art creating dynamic in-game environments.,2011,"Jameschester, Comoros",Seed,,10.0,alvarezhicks.ai,https://linkedin.com/company/alvarez-hicks,@alvarezhicks6256,Cynthia Kramer,Machine Learning,15.0
2423,Johnson Ltd,EdTech,Voice-enabled AI assistants supporting learners anytime.,2017,"Turnerville, Palestinian Territory",IPO,,4309.0,johnsonltd.io,https://linkedin.com/company/johnson-ltd,@johnsonltd8458,Mrs. Laura Mitchell,Artificial Intelligence,80.0
2424,May Inc,Food Tech,NLP-driven nutrition assistants simplifying health tracking.,2025,"Justinton, Belarus",IPO,974.16,338.0,mayinc.com,https://linkedin.com/company/may-inc,@mayinc7681,Angela Rogers,Augmented Reality,20.0
2425,Williams-Carlson,IoT,IoT-enabled smart cities optimizing traffic and energy.,2025,"Churchburgh, Iceland",Series A,11.91,31.0,williamscarlson.co,https://linkedin.com/company/williams-carlson,@williamscarl7915,Joshua Olsen,Machine Learning,10.0
2426,Jackson-Morris,AI & Machine Learning,Cognitive AI systems designed to mimic human decision flows.,2019,"Singhland, Afghanistan",,,105.0,jacksonmorris.tech,https://linkedin.com/company/jackson-morris,@jacksonmorri3523,Jack Tucker,Deep Learning,90.0
2427,Villa Group,Mobility,On-demand micro-mobility integrated with public transit.,2011,"Abigailstad, Japan",,,1.0,villagroup.com,https://linkedin.com/company/villa-group,,Douglas Hudson,Augmented Reality,
2428,"Walker, Brown and Wood",AI & Machine Learning,Predictive AI tools supporting data-informed leadership.,2015,"Ryanstad, Wallis and Futuna",Pre-Seed,1.18,9.0,walkerbrownandwood.app,https://linkedin.com/company/walker-brown-and-wood,@walkerbrowna6831,Jennifer Diaz,Cloud Computing,120.0
